stop_id,stop_no,stop_name,stop_circle,stop_location,remarks,latitude,longitude,accuracy,is_geotagged,updated_user_id,updated_timestamp
198,71 A,Sasthamangalam,M,In front of Indian Overseas Bank,NIL,8.5135944,76.9719219,6.83,TRUE,24,15:42.8
172,110 B,Pettah- Pallimukku,V,near vocational school,NIL,8.49558,76.9342583,2.94,TRUE,20,25:22.8
89,99 B,Killipalam - Govt. High School Chalai,,Opposite to School,near garden fresh,8.4809314,76.9567017,1.27,TRUE,20,33:37.0
257,22 C,Uppidamoodu Bridge,B,Above Bridge,NIL,8.4901517,76.9413633,2.25,TRUE,25,52:58.7
264,90 C,Thirumala - Pallimukku,M,1,opposite park,8.5003043,76.9884316,1.7,TRUE,22,15:18.2
265,90 D,Thirumala - Pallimukku,M,Infront of park,NIL,8.5003793,76.9884624,4.5,TRUE,24,17:15.1
274,122,Kunnumpuram Jn.,B,Ayurveda College,NIL,8.4909551,76.9437074,2,TRUE,25,01:23.9
269,118 B,Arayalloor,M,Near Kunnil Super Market,NIL,8.5063694,76.9948178,16.8,TRUE,24,24:01.6
266,117 A,AKG Centre,B,1,NIL,8.5006717,76.946285,3.42,TRUE,25,17:11.3
268,118 A,Arayalloor,M,Near Travancore Used Cars,NIL,8.5065615,76.9955954,6.5,TRUE,24,31:31.3
258,40 D,Nanthancode - Rajeev Nagar,"Br, V",2,NIL,8.5134217,76.95335,3.4,TRUE,25,52:48.9
260,49 E,Kuravankonam ,Br,Windsor Mansions,NIL,8.523515,76.953915,4.7,TRUE,25,36:13.4
259,49 D,Kuravankonam - St. Thomas Church,"Br, Y",Opposite of KIMS,NIL,8.5224864,76.9506246,104.1,TRUE,25,39:56.5
275,123 A,Swathi Nagar,V,Near Marshal Automobile,NIL,8.5216728,76.9717707,3.88,TRUE,25,02:32.4
276,123 B,Swathi Nagar,V,Opposite to 123A,NIL,8.5213933,76.9715183,2.26,TRUE,25,03:46.8
267,117 B,AKG Centre,B,2,NIL,8.5007112,76.9462828,22.14,TRUE,25,22:07.3
261,75 D,Vazhuthacaud -  Survey Directorate,V,near Srimoolam Club,NIL,8.5018263,76.9602728,4.6,TRUE,25,30:11.3
273,121,Sri Swathi Thirunal Sangeetha College,R,,NIL,8.4904681,76.9562722,3.36,TRUE,25,44:20.1
272,120,Govt. Arts College,R,,NIL,8.4931647,76.9561856,2.4,TRUE,25,47:24.5
255,17 C,NORKA ,R,Infront side,NIL,8.4932451,76.9576403,4.47,TRUE,25,50:06.8
271,119 B,Bharat Bhavan,R,Infront side,NIL,8.4951323,76.9581716,104.1,TRUE,25,58:48.6
270,119 A,Bharat Bhavan,R,Opposite side,NIL,8.4954656,76.9582815,4.38,TRUE,25,59:56.2
256,20 C,LMS - Mascot Hotel ,"R, B, Br, V",AI Engineering Service Ltd,NIL,8.5088569,76.9508172,2.63,TRUE,25,34:04.1
252,01 D,East Fort - Opposite North Bus Stand ,"R, B, M, O",Drop point,NIL,8.483514,76.9477955,2.08,TRUE,22,56:32.1
253,01 E,East Fort - Karimpanal Arcade,"M, O",,NIL,8.4814483,76.9472646,1.66,TRUE,22,00:45.0
254,04 D,Statue - AG's Office,"R, V",opposite Indian Oil pump,NIL,8.4996753,76.9489521,1.6,TRUE,22,46:43.4
262,76 C,Jacob's Jn.,V,opposite Trishna complex,NIL,8.4999791,76.9512587,1.83,TRUE,22,54:59.0
263,76 D,Jacob's Jn.,V,Infront of Muthoot fincorp,NIL,8.5001755,76.9511629,1.7,TRUE,22,56:44.9
