gid,id,routecir,route_no,route_id,length,geom,source,target,array_route_id
90,0,Violet,5,V,501.3793783,0102000020E6100000120000008ACB248F4C3E53408DC756E1E0082140E7CDDBB54D3E5340BCDFA1A1D6082140CC0BB08F4E3E5340EB284014CC082140EFE192E34E3E5340DD611399B9082140014D840D4F3E534029874F3A9108214079978BF84E3E53401DD313967808214065DEAAEB503E534058AEB7CD540821401250E108523E53404FCAA486360821403C31EBC5503E5340DFAE97A608082140DD5CFC6D4F3E534092C80567F007214014200A664C3E5340119337C0CC072140ED0E2906483E5340E766B8019F072140726F7EC3443E53402CBCCB457C07214014CFD902423E5340313F3734650721405CAFE941413E5340330F60915F0721401A6F2BBD363E5340EE01F39029072140AA2D4747353E534056E82C430707214002B1E9F7333E534048D15ED8F5062140,104,105,{V}
1,5,Yellow,4,Y,530.8846183,0102000020E61000001F00000098ACE529063D53408A2CF41CEC102140E2550815083D53407AFB0BC8E710214088FA26F3093D53400B33E2B9E41021406FC5B6A40C3D53407B6CCA59E410214066E7BA8B113D5340807EC995E010214083239950143D53400BDD01D5DE1021409E081067173D5340938D6BB7DD10214003CBF1F9183D5340A59C0DD9DA1021407615520C1B3D5340EED35F54D0102140E4B1E3C11D3D53404AC8224EC2102140F6BCAAB51F3D53400CFDD943B81021402D8B7310213D5340AE6FEAAFB2102140E056A1E5223D5340E2E9CBACAB10214007EF1C64243D5340FB594193A61021400AC4967B263D53400CB6DE4CA51021406AD8A9B1283D53408FB879D2A41021409BA13C012B3D534089B343C7A5102140FCB54F372D3D53400203DAE4A6102140818D64D42E3D5340FE540B88A7102140D619F98A303D5340F64FD57CA81021404ABBC04B323D53400103DAE4A6102140FD86EE20343D534027211E28A1102140A09AE182383D534076B40D5D95102140DC129E0C3E3D5340D3A8D056871021404E5DFE1E403D5340FFC6149A8110214041539208423D53402CEA8EE87A10214078215B63433D53406CCA79B570102140B1468B6C443D534094968C556A10214016877F68483D53404A7ADC3D4F102140DA08250F4C3D5340D54243E53A1021404D79F1344F3D5340E7AF90B932102140,1,2,{Y}
2,8,Yellow,4,Y,470.2459794,0102000020E610000019000000F441B85D433C5340162510655E0921409175363F3F3C5340EDCCE1AA480921405F9C0F653E3C534012F6056843092140088F019F3A3C53400BFED27A2B092140FD9490C8373C5340A5570FA31A09214073549B80353C5340C0F645CE0C09214071CA10AC323C5340791B8876FB082140A6049ECB303C5340C1C3CDE7EF0821403E748A772E3C53403B8631AAE40821404DCB76C12C3C534023F11273DD082140C0A50E51283C5340DB494F7ECA082140926CADA5253C53406F2543BCC008214089930870233C5340741D1CFAB8082140C280D437213C5340C90F94D1B00821408C2EB0961E3C5340BA17AD94A60821407B3C486B1C3C5340DAD6BBD29A08214029A32A4A193C5340758925968A0821406BA9B907173C53400844B61B82082140D72F225B143C534062C119B7730821405A6801A4123C5340010220DD6708214057C6EAD8103C5340A34226035C082140DAFEC9210F3C5340EBDACEE94E082140D75CB3560D3C53401B7A5E123E082140F6D95F030C3C53408FE6B59831082140E4DB604D0A3C53400861904F23082140,3,4,{Y}
171,0,Magenta,6,M,306.0373821,0102000020E610000004000000B0D63F3E573E5340BD265AA8EBFB204076ADBD4F553E534039433866D9FB2040F9A23D5E483E5340F71DC3633FFB20400D1D3BA8443E534006475DC6A8FA2040,174,178,{M}
109,0,Magenta,6,M,566.2472241,0102000020E61000000A000000A32E089BF03D534092BB2AAB44002140184B3818F53D53403852213561002140BE715298F73D534024607479730021408D07753FF93D5340857AF4B97F002140C79DD2C1FA3D5340F6CE68AB9200214076D4128EFD3D5340363D18E5F30021401137A792013E5340CE737D1F0E022140DACDDFFE063E534044C722A05D0221409882FBBF083E5340717EF59C7302214094FB500E0B3E5340D993652DAA022140,127,128,{M}
3,7,Green,3,G,424.0229109,0102000020E61000001B000000909240DE863D5340DF2B0483B50F2140E564C606863D53400A70F38BAB0F214031B62153853D534047089C729E0F2140F82C878B843D53400D1D5138930F21405BE8B927843D534031DA633D890F2140BFA3ECC3833D5340539776427F0F2140851A52FC823D53403587C1E9700F214025E51772813D5340FC55E3015E0F2140106A18D47F3D53404FB8EA01470F21400BFA98137E3D53403DF3F099330F21405686995E7C3D5340FD37F8F51C0F214005EA19287B3D5340521AFEA10A0F21408D379A367A3D5340271A04F2F70E21408C671AA1793D5340045F08A6EA0E2140ECCE1A5F783D5340C85E119ECE0E2140C3181B79773D534020FC18E6B60E2140385B1BAA763D53402EF21D72A70E214070DC9B17753D534001AD2806860E214020109C76743D534014232C3E7B0E2140A92D9C1A743D5340708530966D0E21400C359C03743D5340674035DA5E0E2140D0439CD5733D53407A2C3FF23F0E214081471CCA733D5340B25346AA290E214021109C76743D5340D6FA4EB60E0E2140286E2D7F753D534063B12545000E214015A66CFA763D5340CA1D7DCBF30D2140937CDB02783D53406FFE92F9EC0D2140,5,6,{G}
4,2,Green,3,G,671.6554999,0102000020E610000019000000FD9F9B470F3C5340DA9BCE0479042140303A18190F3C5340C4839BBA8704214070AEFD3C0F3C5340B2A3DAC592042140320686EA0F3C5340D5F68A03AA042140219B0538113C5340686D7FF3CD042140236B85CD113C5340783C7777E7042140D49E852C113C53402BE46D9304052140557C867A0E3C534047EE655F1D05214070B287B40A3C5340CB645DF7370521401C4688E8083C5340B8F857DB48052140F0BF086D073C53402D6551575D052140770D897B063C53407A6F467B7F052140B22E0914063C53403F213563B5052140C53989F1053C534069FA275BDE052140C63989F1053C5340948E19470B062140780D897B063C53407522142B1C06214091888819083C534058C009833C062140925808AF083C53404F190177570621406B4208F4083C53403E37F57A7C062140435C88A3083C5340BE41E44EB1062140B79E88D4073C53401BFDD94AD10621409F238936063C5340B1FDCA0200072140B8930276033C5340DC10E21C200721407B6851E3003C534013314CCE3C072140B82DB363FE3B5340B2055CA159072140,7,8,{G}
132,0,Orange,7,O,614.8305997,0102000020E61000000C000000C9494AD5D13C53400EFE34A44001214048D8AD01CF3C534037ECDEFB31012140D0BE55F3CB3C5340D269B2B413012140F0FFE1B8C83C5340BB629CE0E7002140ABA7C294C03C5340FE50DFF43500214028B37312BB3C5340C500B904D4FF2040D0AA8AB4B83C5340A6FAADA99DFF2040A158CBF9B53C534069B79AD608FF20400E1A0CD4B53C5340F50674CC00FF2040CD075608B53C5340863B7A95D3FE20404D97A26BB43C5340C8D4D0EAB3FE20400FB33CB4B43C53402D7AC95A9EFE2040,159,160,{O}
184,0,Orange,7,O,263.6059972,0102000020E610000013000000BB7EC16ED83C5340FAD51C2098032140E84C0B61D83C5340EB1184C892032140F933272AD83C534001A9EC138C032140D1E23311D83C53403C1BEB40820321408E6B90DCD83C53407AD1492B630321404B60FC98D93C53409814DC6554032140E573793ADB3C534064B74BAB330321407B8003ECDC3C53404B21E91009032140BCBF67F6DD3C534095DEA021F602214068876183DF3C53408DAC2AEEE7022140FFFB5C2AE33C53408B288F08E3022140171F3EFBE43C5340304D54E9E0022140C28CDB0AE63C53408A3C822DDC02214041FD8EA7E63C53402FF9D518D8022140029F91D6E63C53402C753A33D302214057E5ACC1E63C534077867014C90221406D736E5EE63C53401B5D95D1B5022140BE9921BFE53C5340EAE8FE11AA022140486FEB13E53C5340F2F2CF679B022140,158,181,{O}
185,0,Orange,7,O,322.6290293,0102000020E61000000A000000486FEB13E53C5340F2F2CF679B022140280ACBEBE03C5340D5948F553E022140282964B2DF3C5340C1DC241E19022140E7435C25DF3C5340092456C102022140A75E5498DE3C534054EF224AF1012140923B73C7DC3C5340ED478ACED0012140B9687A4FD93C53402817DCE5A401214062527C79D53C53400E0BF3DD760121404B0B42C4D43C5340AB4DE7536F012140C9494AD5D13C53400EFE34A440012140,181,159,{O}
186,0,Orange,7,O,352.3311871,0102000020E6100000080000007B493B7FA43C5340FC86890629FC20402FF97238A13C53407F5267F2F1FB2040D9D1F013A03C53401ED50DDFD5FB2040815012729E3C5340A58B566F9BFB2040D6962D5D9E3C53408A7F6D676DFB2040AC7AAA239F3C5340B998AD652EFB20403407F16B9F3C5340C45C97D119FB204035D45BA8A13C534051BE45CC91FA2040,182,183,{O}
187,0,Orange,7,O,542.4325799,0102000020E61000000D0000000FB33CB4B43C53402D7AC95A9EFE20407204DEF6B33C53400F8367A080FE204062174F90B23C5340E743BB2951FE20402124328BB03C5340BB879EB507FE2040DF4FAE4CAD3C53401D0666B788FD2040DEF551CFAC3C534066A7F3D772FD2040735FA7D4AA3C5340E14DCED124FD204047815628A93C53400AF18762E2FC204047A0EFEEA73C5340A2F57016B9FC2040AF1A70F9A63C5340E5E823E999FC2040C44ED518A63C5340D6924CFA7EFC2040C3C7CA5CA53C5340C40C58F667FC20407B493B7FA43C5340FC86890629FC2040,160,182,{O}
188,0,Orange,7,O,143.5847337,0102000020E61000000600000035D45BA8A13C534051BE45CC91FA20402D53CFB5A13C5340A3654C0273FA2040EA43B944A33C5340B3AD971B39FA204032DDDBFCA43C534010D43239F9F92040E3505D52A53C5340B3E212E0F1F92040B0749A18A63C534081D42C8DEEF92040,183,57,{O}
189,28,Orange,7,O,152.5076436,0102000020E610000009000000FDD1168FA73C5340A0B065D284F720409CCFA19FA83C5340365B011450F72040E00D288FA93C5340FE769D1B41F720401DC9F2F7A93C534037E99B4837F720403FE8B56FAA3C5340CFB8E3DC2EF72040273F502FAD3C5340B820D45719F7204055648AB4AE3C534020D83FB60CF72040BBC1D31BB03C53403F580C67FBF620403BD164B5AF3C5340AE064A65E5F62040,92,137,{O}
190,28,"Red , Blue , Orange","1,2,7","R , B , O",326.0343796,0102000020E61000000C0000001AF1E148D63C5340517754EBB3F92040A301FEFED43C5340086D0F2EB4F920401C85F11FD33C5340CF27A2FCB6F92040E208B5A7CF3C53407D079FE9BCF9204092732CC5CC3C5340FC12ED36C2F92040107D54D6C83C53403C885BFBC9F92040601E2ECCC13C53403C936C58CFF920406CFB86AFB83C5340E021606AD6F920409C0E9F87B23C5340452D71C7DBF920404CCEA1B2AA3C5340803CCE17E3F92040CC0FFA92A73C53401D828BE5E5F9204009FD8243A63C53407B42C004E6F92040,61,50,"{R , B , O}"
191,34,"Red, Violet","1,5","R , V",69.15145198,0102000020E610000006000000707BA566F03C5340FF4D05957B04214060523DB8F13C534041B40E697A0421403887ECB9F33C534077F55AB7770421405CAFFE79F63C5340829AD4F077042140E88E58CDF93C5340A1E83D7B7604214040E243A4FA3C534083D3C89075042140,67,75,"{R , V}"
192,78,"Blue,Violet","2,7","B , V",141.1279576,0102000020E61000000D000000F40D96FB2E3C534048BC862A46FB2040F422D6252F3C53402940081B43FB2040B465F0532F3C5340688DE8C93DFB2040BEF4BAB62F3C5340F62679AD38FB20409E96C85D303C5340387D4C2B2DFB204021D956ED313C5340A251AA9115FB20406D3BD992333C5340C41BCE1502FB2040F17D6722353C5340932EE389FAFA20401A1E73A3373C5340F411967BF1FA20407A9E8A0E3A3C53409D57CB12EAFA20400F4DBDE83B3C534093636445E5FA204037306F363D3C53401DA47CEBDFFA20408FCBDFD73D3C53405FE1E6F8DDFA2040,184,71,"{B , V}"
193,78,"Blue,Violet","2,7","B , V",25.48129556,0102000020E610000007000000818854352E3C5340590FCD7063FB204057FBAA592E3C534028BC47605EFB20404A5CA09C2E3C5340D5174F6858FB204086B0CDD62E3C5340F4974F3A53FB2040AFF1CE032F3C5340C503DDEB4BFB2040EAEC83002F3C534053BEA8F848FB2040F40D96FB2E3C534048BC862A46FB2040,144,184,"{B , V}"
195,0,Violet,5,V,253.814473,0102000020E61000000900000007CD53C2383E5340C246A34CB409214069558F163A3E5340687E7F56A809214006685BCD3A3E5340BE9448A297092140B2D991EA3B3E534010E63DCE340921401C5C3AE63C3E53403DD7F7E12009214003983270403E5340A6B73F170D092140A662635E473E534089A67A32FF082140F29716F5493E5340F1164850FC0821408ACB248F4C3E53408DC756E1E0082140,103,104,{V}
